text,label,clean_text,embeddings
从你的那个有6.6毫米的胚芽的那个B超来看，嗯，就是胚芽大于五毫米以上，没有胎心搏动，你就可以确确认是胎体。,1,从你的那个有66毫米的胚芽的那个B超来看嗯就是胚芽大于五毫米以上没有胎心搏动你就可以确确认是胎体,"[-0.67620564 -0.578655   -0.39975277 ...  0.18295217 -0.45734662
 -0.26999623]"
就是囊有钙化的囊肿呢，一般就是呃，考虑是那种我们囊肿分为好几度的就一度二度2F3度四度那么有钙化的呢，一般就是2F朝上，F朝上呢，就是说50%以上的恶性概率是这样子的啊，然后这个呃一般就是说如果是恶性的呢，也是那种就是说呃恶性程度肯定没那么高，所以他那个每年生长的不是很快啊，但是呃呃，为什么要叫你做个磁共振呢，因为B超他没有图像的B超，这个是人打的那个磁共振的话就可以再看一下那个囊肿有没有风格，那个钙化到底是呃在什么部位。,1,就是囊有钙化的囊肿呢一般就是呃考虑是那种我们囊肿分为好几度的就一度二度2F3度四度那么有钙化的呢一般就是2F朝上F朝上呢就是说50以上的恶性概率是这样子的啊然后这个呃一般就是说如果是恶性的呢也是那种就是说呃恶性程度肯定没那么高所以他那个每年生长的不是很快啊但是呃呃为什么要叫你做个磁共振呢因为B超他没有图像的B超这个是人打的那个磁共振的话就可以再看一下那个囊肿有没有风格那个钙化到底是呃在什么部位,"[-0.98903525 -0.52235574 -0.25889358 ...  0.21991736 -0.322832
  0.3824961 ]"
痒不痒啊，我感觉可能还是像一个皮炎的这种情况啊，你有没有抓过啊，痒啊，这种情况还有皮肤有没有比较干燥的这种表现，我觉得这个可能啊，最有可能的还是皮炎，当然，你说过敏性指尖也不能完全的100%排除啊，但是更像的还是个皮炎的表现，你可以先涂点激素类的药膏，看看它的一个变化的一个情况。,1,痒不痒啊我感觉可能还是像一个皮炎的这种情况啊你有没有抓过啊痒啊这种情况还有皮肤有没有比较干燥的这种表现我觉得这个可能啊最有可能的还是皮炎当然你说过敏性指尖也不能完全的100排除啊但是更像的还是个皮炎的表现你可以先涂点激素类的药膏看看它的一个变化的一个情况,"[-0.6248908  -0.9271058   0.03274611 ...  0.16046678 -0.76057565
 -0.13183804]"
啊，你好是这样的，如果全身散发性的脓疱，我们常见的就是两种，一个叫急性泛发性发疹性脓疱病，它是很多是药物引起也有一些是找不到原因，它更多是一个炎症性和过敏性的皮肤病，第二个就是脓疱性银屑病脓疱性银屑病一般是就是本身有银屑病的病史，但是可能你呃，比如说用了这种激素或者是呃，不适当的治疗之后，它引起了一个银屑病的转型就会出现一个呃，全身泛发性的脓疱，但是如果你之前没有银屑病的病史，而且呢就是身上更多是痒，而且是流流水结痂，这种还是觉得考虑这种急性散发性发展性的脓疱病的可能性更大，但是要明确诊断的话是需要做相应的检查的第一个我们一般是建议要早期活检。,1,啊你好是这样的如果全身散发性的脓疱我们常见的就是两种一个叫急性泛发性发疹性脓疱病它是很多是药物引起也有一些是找不到原因它更多是一个炎症性和过敏性的皮肤病第二个就是脓疱性银屑病脓疱性银屑病一般是就是本身有银屑病的病史但是可能你呃比如说用了这种激素或者是呃不适当的治疗之后它引起了一个银屑病的转型就会出现一个呃全身泛发性的脓疱但是如果你之前没有银屑病的病史而且呢就是身上更多是痒而且是流流水结痂这种还是觉得考虑这种急性散发性发展性的脓疱病的可能性更大但是要明确诊断的话是需要做相应的检查的第一个我们一般是建议要早期活检,"[-0.2999273  -0.34361917 -0.33933103 ...  0.2157317  -0.50384945
  0.12214051]"
嗯嗯，空军医院的外用药停用。,1,嗯嗯空军医院的外用药停用,"[-0.10378355 -1.3343761  -0.53736055 ...  0.05616553 -0.8355542
  0.01723462]"
然后的话费用的话一般是各个地方不一样啊，一一般做的比较全面的话有1万左右的，当然也有更贵的他因为跟他们那个套餐的那个。,1,然后的话费用的话一般是各个地方不一样啊一一般做的比较全面的话有1万左右的当然也有更贵的他因为跟他们那个套餐的那个,"[-0.84529465 -0.7649319  -0.86697614 ...  0.49075508 -0.06442501
 -0.04752311]"
这个长度没问题的,1,这个长度没问题的,"[-0.7886692  -1.3955134  -0.7558781  ...  0.42507792 -0.3927957
 -0.6234747 ]"
预计7月份，我先排着，一般会提前一周发您消息的，到时候注意查收,0,预计7月份我先排着一般会提前一周发您消息的到时候注意查收,"[-0.6489322  -0.5395925  -1.0103993  ...  0.28958744 -0.6750559
 -0.11994126]"
黄褐斑的发病原因有很多，一个是不注意防晒，有的跟内分泌激素水平会有关系，还跟情绪也有关，治疗上的话最主要是加强防晒，平时可以多口服一些维生素C维生素E。,1,黄褐斑的发病原因有很多一个是不注意防晒有的跟内分泌激素水平会有关系还跟情绪也有关治疗上的话最主要是加强防晒平时可以多口服一些维生素C维生素E,"[-0.64314586 -0.70423424 -0.21860999 ...  0.13514987 -0.396982
  0.19010307]"
请完善你的病例资料，后续有问题可以在好大夫这里沟通。,0,请完善你的病例资料后续有问题可以在好大夫这里沟通,"[-0.32498974 -0.9249509   0.0868395  ... -0.04331274 -0.82373196
  0.47429323]"
就这几点,0,就这几点,"[-0.5919704  -1.0145774  -0.40504792 ...  0.2752235  -0.6508416
 -0.48357037]"
他们做的尿动力室影像尿动力还是普通尿动力，如果影像尿动力呢，确实是可以看到他现在一个排尿周期嘛，是有可以测试去反流的呃你，你把那个报告传给我看一下吧。,1,他们做的尿动力室影像尿动力还是普通尿动力如果影像尿动力呢确实是可以看到他现在一个排尿周期嘛是有可以测试去反流的呃你你把那个报告传给我看一下吧,"[-0.72975385 -0.84093136 -0.5165865  ...  0.21359757 -0.71606576
 -0.1574768 ]"
大量喝水，大量喝水,1,大量喝水大量喝水,"[-0.7384864  -0.97224736 -0.20922193 ...  0.30320644 -0.1405234
 -0.7056786 ]"
子宫内膜厚度正常，但是月经量少。,1,子宫内膜厚度正常但是月经量少,"[-0.2904392  -1.2572578  -0.36450374 ...  0.46565443 -0.3959091
  0.17863947]"
这样安排好，基本当天能住院的，但需要提前协调好。,0,这样安排好基本当天能住院的但需要提前协调好,"[-1.1973317  -1.285932   -0.55344856 ... -0.11451982 -0.7923633
  0.0203993 ]"
（3）请仔细阅读随后的“上海市儿童医院泌尿外科择期手术院入院流程介绍”。,0,3请仔细阅读随后的上海市儿童医院泌尿外科择期手术院入院流程介绍,"[-0.94277203 -0.5893276  -0.7374723  ... -0.21514066 -0.78514004
  0.29478157]"
水泡是磨出来的，可以拿消毒针头刺破，止咳药吃完就可以了,1,水泡是磨出来的可以拿消毒针头刺破止咳药吃完就可以了,"[-0.52401483 -0.8677639  -0.6124214  ...  0.1024026  -0.34165883
  0.21437459]"
呃，你上次这个用药应该用药两周后面再复诊，到时候复诊的时候再查好了。,1,呃你上次这个用药应该用药两周后面再复诊到时候复诊的时候再查好了,"[-0.2166924  -1.1460576  -0.751963   ... -0.1391514  -0.49951023
  0.20807897]"
血hcg复查了没有？,0,血hcg复查了没有,"[-0.40478125 -1.5519984  -1.0769291  ...  0.26085138  0.16552994
 -0.1656356 ]"
那你是不信谣，不信我再打他干嘛呢。,0,那你是不信谣不信我再打他干嘛呢,"[-0.9448236  -0.8768934  -0.8563982  ...  1.1724961  -0.5112315
 -0.18228915]"
没做过手术是吧？,0,没做过手术是吧,"[-0.42197254 -0.7647654  -0.6543794  ...  0.45145434 -1.031042
 -0.10455085]"
快的话要两三周慢的话要1个多月，甚至更长时间的。,0,快的话要两三周慢的话要1个多月甚至更长时间的,"[-0.8801781  -1.1705962  -0.7500956  ...  0.37461972 -0.42180797
 -0.5946543 ]"
已经解答过这个问题了，这个药物孕期可用。,1,已经解答过这个问题了这个药物孕期可用,"[-0.871971   -0.86397994 -0.52531636 ...  0.0916547  -0.47291714
 -0.7040553 ]"
明天过来检查，当天入院，第二天手术可以吗,1,明天过来检查当天入院第二天手术可以吗,"[-0.85053366 -0.8656694  -0.09491307 ...  0.00140554 -0.9953817
  0.27826837]"
我需要看片子才能诊断,0,我需要看片子才能诊断,"[-0.962088   -0.9324386  -0.52665913 ...  0.26957688 -0.96854603
  0.20271192]"
有点浸润影，可能是炎症，可以去内科消消炎。,1,有点浸润影可能是炎症可以去内科消消炎,"[-0.41542324 -1.0468442  -0.10028966 ...  0.1134634  -0.30837175
  0.7040902 ]"
炎症,0,炎症,"[-0.07350102 -0.24782632 -1.0364546  ...  0.39490068 -0.24103734
 -0.03593621]"
等下次月经来的第1天，请发信息,0,等下次月经来的第1天请发信息,"[-0.47346604 -0.6725886  -0.36601067 ...  0.27073115 -0.15354964
  0.17108378]"
是这个意思啊，从现在开始排队现在因为疫情期间也有可能会尽快通知你，因为很多的病人，你现在通知他的话他排了太久，他也没有思想准备，那现在在上海呢，疫情的问题就比较麻烦，所以也有可能会比较快的通知你的好吧。,0,是这个意思啊从现在开始排队现在因为疫情期间也有可能会尽快通知你因为很多的病人你现在通知他的话他排了太久他也没有思想准备那现在在上海呢疫情的问题就比较麻烦所以也有可能会比较快的通知你的好吧,"[-0.92039585 -0.60907847 -1.2472296  ...  0.2153343  -0.994418
  0.0286032 ]"
就是可能外伤或者蚊虫叮咬的诱因，导致局部的血管增生就形成了一个血管瘤,1,就是可能外伤或者蚊虫叮咬的诱因导致局部的血管增生就形成了一个血管瘤,"[-0.7014087  -0.6298021  -0.03045949 ...  0.19692913 -0.30901265
  0.345918  ]"
你把报告拍张照发给我,0,你把报告拍张照发给我,"[-0.29146215 -0.75235367 -0.05975896 ...  0.19248913 -0.39120787
 -0.22853795]"
您可以去医院找陈丽丹医生就诊哦。,1,您可以去医院找陈丽丹医生就诊哦,"[-0.88296914 -0.96099806 -0.19337238 ...  0.01451229 -0.903281
  0.36537042]"
这个症状和肺部无关,1,这个症状和肺部无关,"[-0.46871263 -0.93770605 -0.760883   ...  0.78861475 -0.9058353
  0.36733478]"
好的，只要不费力不担心哈,0,好的只要不费力不担心哈,"[-0.8600428  -1.6534569  -0.21780632 ...  0.16136383 -0.6766843
 -0.6774557 ]"
有没有阴茎的静脉漏的，因为如果存在静脉漏的话，这个能够勃起想勃起都能勃起，但是勃起以后正常人能够静脉是把它关掉把血锁在阴茎里面，但是有些静脉瘘的病人，这个血冲进去以后立马从进门就露出来了，没有办法把血所在海绵体里面就容易造成可以勃起，但是勃起以后非常快的疲软。,1,有没有阴茎的静脉漏的因为如果存在静脉漏的话这个能够勃起想勃起都能勃起但是勃起以后正常人能够静脉是把它关掉把血锁在阴茎里面但是有些静脉瘘的病人这个血冲进去以后立马从进门就露出来了没有办法把血所在海绵体里面就容易造成可以勃起但是勃起以后非常快的疲软,"[-0.42179662 -0.6279764  -0.28891224 ...  0.2540462  -0.6460064
 -0.00393264]"
明天来吧,0,明天来吧,"[-0.47179013 -0.34254178 -0.4168526  ...  1.0386431  -1.0734756
  0.02506397]"
阴囊皮肤和其他部位不同，正常情况下就比其他皮肤色深，该处黑素细胞密度高，再加上发生了炎症性皮肤病，颜色就变得更深了。,1,阴囊皮肤和其他部位不同正常情况下就比其他皮肤色深该处黑素细胞密度高再加上发生了炎症性皮肤病颜色就变得更深了,"[ 0.1616895  -0.30310088 -0.53198004 ...  0.21858323 -0.7005242
 -0.21141843]"
建议：外涂重组表皮生长因子凝胶，早晚各一次；口服依巴斯汀片（每天一片）、复方甘草酸苷片（每天三次每次两片）、盐酸多西环素胶囊（每天一粒）。,1,建议外涂重组表皮生长因子凝胶早晚各一次口服依巴斯汀片每天一片复方甘草酸苷片每天三次每次两片盐酸多西环素胶囊每天一粒,"[-0.60379374 -0.78319085 -0.15539078 ... -0.08296631 -0.33609524
  0.1371103 ]"
但最重要的还是以保养为主 我写了一篇科普，您可以有空看看 照着保养前列腺炎,1,但最重要的还是以保养为主我写了一篇科普您可以有空看看照着保养前列腺炎,"[-0.2880995  -0.7717033  -0.16816378 ...  0.3642889  -0.35766813
 -0.3813337 ]"
这是上次的照片，现在的皮肤拍照片发过来看一下,0,这是上次的照片现在的皮肤拍照片发过来看一下,"[ 0.3973857  -0.4751766  -0.15295142 ...  0.16591787 -0.8180785
 -0.17685252]"
外涂患处。,1,外涂患处,"[-0.34334806 -0.9320047  -0.48872757 ...  0.6874521  -0.55911577
 -0.21508825]"
是 21号拍的么？,0,是21号拍的么,"[-0.75568163 -0.4961952  -1.2936738  ...  0.5201404  -1.333981
  0.19396284]"
根据前面语音交流内容执行，定期随访检查。,0,根据前面语音交流内容执行定期随访检查,"[-0.8802831  -1.2597344  -0.7681494  ... -0.07190713 -0.39936373
 -0.2539437 ]"
目前已经知道是恶性的了。,1,目前已经知道是恶性的了,"[-1.1420884  -0.844109   -0.23181623 ...  0.8542479   0.1012589
  0.18471542]"
那就是黑头粉刺,1,那就是黑头粉刺,"[-0.38882938 -0.70694673 -0.39657623 ...  0.49828693 -0.56502503
 -0.14250533]"
保守治疗 对症治疗 多休息 定期复查,1,保守治疗对症治疗多休息定期复查,"[-0.91475266 -1.1817603  -0.23827463 ...  0.28834677 -0.47665298
  0.4531786 ]"
卡介苗除了预防复发，也可以降低进展概率,1,卡介苗除了预防复发也可以降低进展概率,"[-0.56356907 -0.14431867  0.07918474 ...  0.03060393 -0.38193932
 -0.19265589]"
手术前建议检查增强磁共振进一步明确诊断。,1,手术前建议检查增强磁共振进一步明确诊断,"[-0.84261495 -1.2242208   0.02140732 ...  0.27640986 -1.0427709
  0.7473269 ]"
外涂药物继续用,1,外涂药物继续用,"[ 0.1895383  -1.2234668  -0.54796165 ...  0.5010453  -0.2876007
 -0.42845225]"
2-3周回访看看,1,23周回访看看,"[-0.75582707 -0.7562281  -0.9141121  ...  0.0098068  -0.65097886
 -0.39441544]"
经常会有卵巢未显示情况 正常现象 卵巢小 B超经常看不到 不用去管,1,经常会有卵巢未显示情况正常现象卵巢小B超经常看不到不用去管,"[-1.3480718  -1.0684164   0.14139102 ... -0.10382    -0.3263435
  0.45057356]"
住院和手术患者及陪护继续执行 72 小时内 2 次核酸阴性，至少间隔 24 小时，最后一次必须为本院报告，满足条件的入住缓冲病房，病 房缓冲 2 天，2 次核酸阴性后可转入清洁病房。,1,住院和手术患者及陪护继续执行72小时内2次核酸阴性至少间隔24小时最后一次必须为本院报告满足条件的入住缓冲病房病房缓冲2天2次核酸阴性后可转入清洁病房,"[-0.7811912  -1.6976123  -1.3184588  ...  0.1354372  -0.34981248
  0.23423949]"
从提供资料来看，目前病情考虑为右侧卵巢囊肿，卵巢囊肿约5cm，有腹腔镜检查手术指征。,1,从提供资料来看目前病情考虑为右侧卵巢囊肿卵巢囊肿约5cm有腹腔镜检查手术指征,"[-1.5620213  -0.9766029  -0.18134773 ... -0.12181538 -0.39802945
  0.67380464]"
我们现在的门诊是放开的我们昨天开始恢复门诊了。,1,我们现在的门诊是放开的我们昨天开始恢复门诊了,"[-0.67627305 -1.1797276  -0.14347379 ... -0.05375168 -0.8960506
  0.25049657]"
然后如果说1个月内时候能够冲下去的话，那么就可以了，如果说1个月时都还是下不去的话，那你可以建建议做个输尿管镜微创手术,1,然后如果说1个月内时候能够冲下去的话那么就可以了如果说1个月时都还是下不去的话那你可以建建议做个输尿管镜微创手术,"[-1.1060203  -0.24750935 -0.18746366 ...  0.12562433 -0.14468169
  0.00474262]"
考虑人工荨麻疹,1,考虑人工荨麻疹,"[-1.0062965  -0.71664083 -0.7811456  ...  0.6547041  -1.1112926
  0.18767957]"
不建议,0,不建议,"[-1.1205671  -1.5744437  -0.9233416  ...  0.8931643  -0.4983193
  0.26256055]"
如有包皮过长，可以行包皮环切术，降低复发率。,1,如有包皮过长可以行包皮环切术降低复发率,"[-0.7651844  -0.31313798 -0.13510887 ... -0.00679938 -0.6236162
 -0.1671747 ]"
会长大,0,会长大,"[-0.22138758 -1.1642697  -0.2772487  ...  0.4541933  -0.78120697
 -0.67765725]"
如果到时候还有乳房发育和泌乳素增高，可以考虑加用药物治疗。,1,如果到时候还有乳房发育和泌乳素增高可以考虑加用药物治疗,"[-0.9721911  -1.4716744  -0.35893127 ...  0.10018697 -0.3235616
  0.1838268 ]"
可以安排时候我会通知您的，敬请放心,0,可以安排时候我会通知您的敬请放心,"[-0.74461    -0.5590309  -0.90631664 ...  0.4065581  -1.3702344
 -0.09871662]"
你黄体酮怎么打,0,你黄体酮怎么打,"[-0.93799603 -1.2137252  -0.93361485 ...  0.39428964 -0.42956
 -0.1003101 ]"
初步报告良性的。,1,初步报告良性的,"[-1.4206024  -0.63737214 -0.11936492 ...  0.5226273   0.07651018
  0.19938987]"
月经来了吗,0,月经来了吗,"[-0.88105667 -1.204987   -1.4132177  ...  0.11237967 -1.2298547
 -0.06760015]"
可以去看心内科,1,可以去看心内科,"[-1.1323946  -0.9464605  -0.0767713  ...  0.7553328  -0.6473671
  0.14278844]"
二选一，每天一粒，睡前吃。,1,二选一每天一粒睡前吃,"[-1.1077292  -1.1947917  -0.11637637 ...  0.35648814 -0.3438935
  0.21038014]"
是的，脑室增宽已经吸收，脉络丛囊肿问题不大，可以间隔2-3个月左右再复查B超,1,是的脑室增宽已经吸收脉络丛囊肿问题不大可以间隔23个月左右再复查B超,"[-0.9010204  -0.56965363 -0.28094083 ... -0.07914102 -0.87394637
  0.5220333 ]"
可以先在当地正规大医院做好长程脑电图检查和血化验电解质、血常规、肝肾功能检查,1,可以先在当地正规大医院做好长程脑电图检查和血化验电解质血常规肝肾功能检查,"[-1.1376033  -0.9345565  -0.25259924 ...  0.63710135 -0.6014697
  0.90067697]"
还有三周时间应该没有问题,0,还有三周时间应该没有问题,"[-1.0523703  -1.0111588  -0.97983116 ...  0.58785295 -0.6471357
 -0.46097034]"
请上传出院小结或门诊病历,0,请上传出院小结或门诊病历,"[-0.7641995  -0.6371622  -0.15336129 ...  0.1863543  -0.28102094
  0.00886679]"
呃，您放心，只要有的话呢，我会第一时间通知您的，因为特需病房其实比普通病房的更好安排一些，但现在就是没有两个人陪，如果呢，不是两个人陪呢，特需呢，其实呃住的人还是比较少的，目前是这样的，但是寒暑假除外啊。,0,呃您放心只要有的话呢我会第一时间通知您的因为特需病房其实比普通病房的更好安排一些但现在就是没有两个人陪如果呢不是两个人陪呢特需呢其实呃住的人还是比较少的目前是这样的但是寒暑假除外啊,"[-0.6979501  -1.0005715  -1.062814   ...  0.14502002 -0.6428091
 -0.00329852]"
明天上午我东院有专家门诊,1,明天上午我东院有专家门诊,"[-0.6992459  -0.6913005  -0.18173295 ...  0.2462997  -0.85847527
  0.32050437]"
呃，洗澡的话呢局部呢，不要用沐浴露可以正常的清水淋浴就可以，如果里面有黄色的脏东西出来可以呢，给它用水冲掉就像脓一样的分泌物出来，如果这个东西如果能出来呢，他可能慢慢的好的更快一些，别害怕啊。,1,呃洗澡的话呢局部呢不要用沐浴露可以正常的清水淋浴就可以如果里面有黄色的脏东西出来可以呢给它用水冲掉就像脓一样的分泌物出来如果这个东西如果能出来呢他可能慢慢的好的更快一些别害怕啊,"[-0.552914   -0.17882751 -0.3375009  ...  0.29225498  0.16811909
 -0.28349364]"
具体用药名字和方法？,0,具体用药名字和方法,"[-0.85475904 -1.5958637  -0.5090405  ...  0.41724902 -0.5651941
 -0.20759983]"
可以去做个发育评估,1,可以去做个发育评估,"[-1.2331258  -1.0405217  -0.21352813 ...  0.3123939  -0.72057307
 -0.07683034]"
艾乐菲抗菌露 3克*3支/盒 数量：12,1,艾乐菲抗菌露3克3支盒数量12,"[-0.3653742  -0.6731502  -0.6950598  ...  0.5453991  -0.18861124
 -0.28937843]"
坚持化疗吧,1,坚持化疗吧,"[-0.7471173  -0.9912468  -0.31356424 ...  1.4163033  -0.12411508
  0.6290281 ]"
宫颈癌的话呢，一般术后的话呃，可能这个腹股沟淋巴结会有反性的增生，因为一个是手术，另外一个女士做淋巴清扫，那么腹股沟的淋巴结是不少。,1,宫颈癌的话呢一般术后的话呃可能这个腹股沟淋巴结会有反性的增生因为一个是手术另外一个女士做淋巴清扫那么腹股沟的淋巴结是不少,"[-0.82328993 -0.6120515  -0.67834926 ...  0.4382828  -0.568919
  0.2296479 ]"
你写的药量恐有误，M丅X每片为2.5mg，你再仔细看看！,0,你写的药量恐有误M丅X每片为25mg你再仔细看看,"[-1.0840862  -1.6685665  -0.0947325  ...  0.49488425 -1.2204514
  0.02104741]"
特别是重度糜烂容易引起接触性出血症状。,1,特别是重度糜烂容易引起接触性出血症状,"[-0.5368495  -0.4978838  -0.5245858  ...  0.6606951  -0.5713198
 -0.07878268]"
可以通过好大夫在线预约。,1,可以通过好大夫在线预约,"[-0.59904414 -0.53808707  0.07113314 ... -0.21047878 -0.9189892
  0.07608503]"
基本不影响寿命，就算复发也可以微创电切手术的,1,基本不影响寿命就算复发也可以微创电切手术的,"[-0.3280064  -0.8603023   0.4414066  ...  0.34332043 -0.38297403
  0.28183517]"
这种情况是湿疹的后遗症：皮肤屏障功能受损引起的角质剥脱松解症,1,这种情况是湿疹的后遗症皮肤屏障功能受损引起的角质剥脱松解症,"[-0.01783982 -0.8633487   0.13246863 ...  0.19925207 -0.43220943
 -0.33786893]"
B3型的话，不太会长成C型的，那是两个概念，呃，但是B3型的预后的话是容易复发的，嗯，所以说恶性C型当然恶性程度更高了，嗯。,1,B3型的话不太会长成C型的那是两个概念呃但是B3型的预后的话是容易复发的嗯所以说恶性C型当然恶性程度更高了嗯,"[-0.07753995 -0.41433594 -0.42858008 ...  0.2948423  -0.6223237
 -0.03639892]"
好的，不客气的,0,好的不客气的,[-0.6368189 -1.1720098 -1.0279901 ...  0.5765914 -0.5610557 -0.359766 ]
皮肤康洗液的话，建议放冰箱冷藏。,1,皮肤康洗液的话建议放冰箱冷藏,"[-0.5918585  -1.1289489  -0.8582046  ...  0.34865496 -0.41589475
 -0.23049046]"
一个是华洋奎龙。,0,一个是华洋奎龙,"[-1.2994196  -0.85183704 -0.77059925 ...  0.8760136  -0.42410016
 -0.2642233 ]"
没关系，随访就可以,0,没关系随访就可以,"[-1.1228685  -1.814143   -1.3412671  ... -0.1340504  -0.9370831
 -0.19896007]"
术后先做4个疗程化疗，如果有复发或者转移，再根据基因检测的结果做靶向治疗。,1,术后先做4个疗程化疗如果有复发或者转移再根据基因检测的做靶向治疗,"[-1.311758   -0.97741044 -0.2619871  ...  0.47930443 -0.45822653
  0.55106556]"
你好，我是俞医生。,0,你好我是俞医生,"[-0.40913993 -1.6280813  -0.37156415 ...  0.16516262 -0.7071065
 -0.32161382]"
一周可以解决,0,一周可以解决,"[-1.0337143  -1.275296   -0.2320939  ...  0.95434844 -0.11594757
 -0.8434813 ]"
加强保湿修复（加用虾青素）；注意休息，11点前睡觉；严格防晒,1,加强保湿修复加用虾青素注意休息11点前睡觉严格防晒,"[-0.5799151  -0.6055993  -0.26162416 ...  0.5016726  -0.21010835
  0.121246  ]"
不严重没有扩散,1,不严重没有扩散,"[-0.8179925  -0.6307323  -0.16781852 ...  0.5689689  -0.00318711
  0.06314188]"
嗯，等到那个以后半天时间做了那么确定有哪些成分，不能用啊，那么再去选择就是不包含这些成分的产品，这样会而且产品也最好成分比较精简一点喽，对吧成分越多越越搞不清楚啊，所以呃，这样会比较好一些，另外就是我觉得你你看一下吧，如果你那个呃甘草酸苷啊，一天三顿，每顿三片啊，吃了十天甚至两周了，那你皮肤还是觉得痒还是有红呃呃，那当然也可以拍个照给我看一下，如果不行，我觉得你还是要那就换其他的治疗方案啊，有可能说明甘草苷甘草酸苷和阿洛刻这样的一个治疗啊，不能控制你的这个湿疹就是湿疹的发生的一个情况了。,1,嗯等到那个以后半天时间做了那么确定有哪些成分不能用啊那么再去选择就是不包含这些成分的产品这样会而且产品也最好成分比较精简一点喽对吧成分越多越越搞不清楚啊所以呃这样会比较好一些另外就是我觉得你你看一下吧如果你那个呃甘草酸苷啊一天三顿每顿三片啊吃了十天甚至两周了那你皮肤还是觉得痒还是有红呃呃那当然也可以拍个照给我看一下如果不行我觉得你还是要那就换其他的治疗方案啊有可能说明甘草苷甘草酸苷和阿洛刻这样的一个治疗啊不能控制你的这个湿疹就是湿疹的发生的一个情况了,"[ 0.03230637 -1.8185112  -0.7551229  ...  0.7041934  -0.8126359
 -0.24554838]"
我已经扫过，看过了。,0,我已经扫过看过了,"[-0.99296755 -1.512695   -0.3271488  ...  0.52917874 -0.60306966
 -0.24660361]"
你的检验的单子都是属于正常的，那么就是宫腔里面可能有粘连之类的，看不出来的。,1,你的检验的单子都是属于正常的那么就是宫腔里面可能有粘连之类的看不出来的,"[-0.99406636 -1.0799747  -0.8637971  ...  0.0011389  -0.23546565
  0.15048115]"
（特需病房日间手术）7/26体检不住院，7/27办住院当天手术（7点前到医院，排队人多尽量早点到），次日出院,1,特需病房日间手术726体检不住院727办住院当天手术7点前到医院排队人多尽量早点到次日出院,"[-0.90893793 -0.8598357  -0.3081567  ...  0.03799896 -0.9120991
  0.05909035]"
需特别注意以下几点：一定不要熬夜，尽可能在10点前睡觉；要加强润肤，维护正常皮肤屏障，推荐的低敏护肤产品包括雅漾、理肤泉、珂润、玉泽、纽强、贝德玛、薇诺娜、Aveeno、Cerave(天猫有售)等，当然普通的尿素维E乳膏也可以；切忌搔抓、抠挖、搓揉等不良习惯，易加重皮疹；避免热水烫洗及减少皂剂使用；少站少蹲少走路，坐的时候也要抬高患肢；控制好血压；勿穿紧身衣物、贴身穿全棉衣物；若非常瘙痒，避免食用羊肉、海鲜，忌烟酒。,1,需特别注意以下几点一定不要熬夜尽可能在10点前睡觉要加强润肤维护正常皮肤屏障推荐的低敏护肤产品包括雅漾理肤泉珂润玉泽纽强贝德玛薇诺娜AveenoCerave天猫有售等当然普通的尿素维E乳膏也可以切忌搔抓抠挖搓揉等不良习惯易加重皮疹避免热水烫洗及减少皂剂使用少站少蹲少走路坐的时候也要抬高患肢控制好血压勿穿紧身衣物贴身穿全棉衣物若非常瘙痒避免食用羊肉海鲜忌烟酒,"[-0.7347759  -0.9565965  -0.2905116  ...  0.3915472  -0.55622387
  0.30404902]"
尿液中含有氨类代谢物，如浸湿阴茎，阴囊部位，就会产生皮肤刺激，故尽量不要沾到邻近皮肤。,1,尿液中含有氨类代谢物如浸湿阴茎阴囊部位就会产生皮肤刺激故尽量不要沾到邻近皮肤,"[-0.3066424  -0.36100674 -0.29158077 ...  0.53166467 -0.74351966
 -0.22647399]"
如果有抓的话可以给他吃西替利嗪滴剂的，药膏不涂没有问题,1,如果有抓的话可以给他吃西替利嗪滴剂的药膏不涂没有问题,"[-0.53529394 -0.9303449  -0.6474692  ...  0.2517444  -0.533715
  0.05793091]"
每天甘露醇250毫升加地塞米松2.5毫克即可,1,每天甘露醇250毫升加地塞米松25毫克即可,"[-0.8936504  -1.2156653  -0.444767   ...  0.73226106 -0.2272834
  0.07997128]"
暂时不要用药，随访观察，注意局部卫生即可。,1,暂时不要用药随访观察注意局部卫生即可,"[-0.827294   -0.91599727 -0.89260256 ... -0.07137888 -0.5678675
 -0.23636332]"
这里复查的片子么问题，半年后来我门诊复查。,1,这里复查的片子么问题半年后来我门诊复查,"[-0.6345313  -1.3180007   0.33151338 ... -0.10783263 -0.89491844
  0.512682  ]"
是的，一般是这样,0,是的一般是这样,"[-0.8174862  -0.85090435 -1.4658043  ...  0.24219817 -0.783968
 -0.3506885 ]"
定期复查，门诊随访超声。,1,定期复查门诊随访超声,"[-0.9566407  -0.86063576  0.06573308 ... -0.03330141 -0.25100338
  0.36813468]"
